n_samples,epsilon,run_idx,seed,pms_mse,pms_runtime_s,timestamp
2100,0.2,13,4100033,0.0,0.24721850012429059,2026-03-07 20:09:52
2100,0.2,14,4100034,0.0,0.24686420802026987,2026-03-07 20:09:52
2100,0.2,15,4100035,0.0,0.275013874983415,2026-03-07 20:09:53
2100,0.2,16,4100036,0.0,0.26433149981312454,2026-03-07 20:09:53
2100,0.2,17,4100037,0.0,0.24692249996587634,2026-03-07 20:09:53
2100,0.2,18,4100038,0.0,0.24363254196941853,2026-03-07 20:09:54
2100,0.2,19,4100039,0.0,0.25025112507864833,2026-03-07 20:09:54
2100,0.5,0,4100050,0.0,0.24607041687704623,2026-03-07 20:10:17
2100,0.5,1,4100051,0.0,0.24469758314080536,2026-03-07 20:10:17
2100,0.5,2,4100052,0.0,0.24344212491996586,2026-03-07 20:10:18
2100,0.5,3,4100053,0.0,0.2448993748985231,2026-03-07 20:10:18
2100,0.5,4,4100054,0.0,0.24453112506307662,2026-03-07 20:10:18
2100,0.5,5,4100055,0.0,0.24490429204888642,2026-03-07 20:10:19
2100,0.5,6,4100056,0.0,0.244396457914263,2026-03-07 20:10:19
2100,0.5,7,4100057,0.0,0.24560695909895003,2026-03-07 20:10:19
2100,0.5,8,4100058,0.0,0.24410141608677804,2026-03-07 20:10:20
2100,0.5,9,4100059,0.0,0.2434310419484973,2026-03-07 20:10:20
2100,0.5,10,4100060,0.0,0.244687041034922,2026-03-07 20:10:20
2100,0.5,11,4100061,0.0,0.2440615000668913,2026-03-07 20:10:21
2100,0.5,12,4100062,0.0,0.24430441693402827,2026-03-07 20:10:21
2100,0.5,13,4100063,0.0,0.24269245797768235,2026-03-07 20:10:21
2100,0.5,14,4100064,0.0,0.24375687493011355,2026-03-07 20:10:22
2100,0.5,15,4100065,0.0,0.24556945799849927,2026-03-07 20:10:22
2100,0.5,16,4100066,0.0,0.2443367091473192,2026-03-07 20:10:22
2100,0.5,17,4100067,0.0,0.2431720420718193,2026-03-07 20:10:23
2100,0.5,18,4100068,0.0,0.24382487521506846,2026-03-07 20:10:23
2100,0.5,19,4100069,0.0,0.24306629202328622,2026-03-07 20:10:23
2100,1.0,0,4100100,0.0,0.24553145794197917,2026-03-07 20:10:41
2100,1.0,1,4100101,0.0,0.24497912498191,2026-03-07 20:10:41
2100,1.0,2,4100102,0.0,0.2501601248513907,2026-03-07 20:10:41
2100,1.0,3,4100103,0.0,0.24673229199834168,2026-03-07 20:10:42
2100,1.0,4,4100104,0.0,0.25216104090213776,2026-03-07 20:10:42
2100,1.0,5,4100105,0.0,0.24766079196706414,2026-03-07 20:10:42
2100,1.0,6,4100106,0.0,0.24577262485399842,2026-03-07 20:10:43
2100,1.0,7,4100107,0.0,0.24418579204939306,2026-03-07 20:10:43
2100,1.0,8,4100108,0.0,0.24462329200468957,2026-03-07 20:10:43
2100,1.0,9,4100109,0.0,0.24520029104314744,2026-03-07 20:10:44
2100,1.0,10,4100110,0.0,0.2448902919422835,2026-03-07 20:10:44
2100,1.0,11,4100111,0.0,0.24466687510721385,2026-03-07 20:10:44
2100,1.0,12,4100112,0.0,0.2448523750063032,2026-03-07 20:10:45
2100,1.0,13,4100113,0.0,0.24260633415542543,2026-03-07 20:10:45
2100,1.0,14,4100114,0.0,0.24526616698130965,2026-03-07 20:10:45
2100,1.0,15,4100115,0.0,0.2521253330633044,2026-03-07 20:10:46
2100,1.0,16,4100116,0.0,0.24532441701740026,2026-03-07 20:10:46
2100,1.0,17,4100117,0.0,0.24447041703388095,2026-03-07 20:10:46
2100,1.0,18,4100118,0.0,0.24549145810306072,2026-03-07 20:10:47
2100,1.0,19,4100119,0.0,0.24497850006446242,2026-03-07 20:10:47
300,0.1,0,2300010,0.0,0.012724834028631449,2026-03-08 01:40:35
300,0.1,1,2300011,0.0,0.012267124839127064,2026-03-08 01:40:35
300,0.1,2,2300012,0.0,0.012237540911883116,2026-03-08 01:40:35
300,0.1,3,2300013,0.0,0.011859416961669922,2026-03-08 01:40:35
300,0.1,4,2300014,0.0,0.012186292093247175,2026-03-08 01:40:35
300,0.1,5,2300015,0.0,0.012206832878291607,2026-03-08 01:40:35
300,0.1,6,2300016,0.0,0.012135333847254515,2026-03-08 01:40:35
300,0.1,7,2300017,0.0,0.012150124879553914,2026-03-08 01:40:35
300,0.1,8,2300018,0.0,0.01212475006468594,2026-03-08 01:40:35
300,0.1,9,2300019,0.0,0.01218445785343647,2026-03-08 01:40:35
300,0.1,10,2300020,0.0,0.012098624836653471,2026-03-08 01:40:35
300,0.1,11,2300021,0.0,0.012193124974146485,2026-03-08 01:40:35
300,0.1,12,2300022,0.0,0.01214383402839303,2026-03-08 01:40:35
300,0.1,13,2300023,0.0,0.012201333185657859,2026-03-08 01:40:35
300,0.1,14,2300024,0.0,0.012253083987161517,2026-03-08 01:40:35
300,0.1,15,2300025,0.0,0.012107999995350838,2026-03-08 01:40:35
300,0.1,16,2300026,0.0,0.012264374876394868,2026-03-08 01:40:35
300,0.1,17,2300027,0.0,0.012153125135228038,2026-03-08 01:40:35
300,0.1,18,2300028,0.0,0.012228625128045678,2026-03-08 01:40:35
300,0.1,19,2300029,0.0,0.012411042116582394,2026-03-08 01:40:35
300,0.2,0,2300020,0.0,0.013595374999567866,2026-03-08 01:40:38
300,0.2,1,2300021,0.0,0.012609958881512284,2026-03-08 01:40:38
300,0.2,2,2300022,0.0,0.012739582918584347,2026-03-08 01:40:38
300,0.2,3,2300023,0.0,0.012486665975302458,2026-03-08 01:40:38
300,0.2,4,2300024,0.0,0.012478166026994586,2026-03-08 01:40:38
300,0.2,5,2300025,0.0,0.012335791951045394,2026-03-08 01:40:38
300,0.2,6,2300026,0.0,0.012362291803583503,2026-03-08 01:40:38
300,0.2,7,2300027,0.0,0.012571042170748115,2026-03-08 01:40:38
300,0.2,8,2300028,0.0,0.01253329194150865,2026-03-08 01:40:38
300,0.2,9,2300029,0.0,0.012163416016846895,2026-03-08 01:40:38
300,0.2,10,2300030,0.0,0.012208250118419528,2026-03-08 01:40:38
300,0.2,11,2300031,0.0,0.012240290874615312,2026-03-08 01:40:38
300,0.2,12,2300032,0.0,0.012165042106062174,2026-03-08 01:40:38
300,0.2,13,2300033,0.0,0.012101792031899095,2026-03-08 01:40:38
300,0.2,14,2300034,0.0,0.012237375136464834,2026-03-08 01:40:38
300,0.2,15,2300035,0.0,0.012209791224449873,2026-03-08 01:40:38
300,0.2,16,2300036,0.0,0.01232041697949171,2026-03-08 01:40:38
300,0.2,17,2300037,0.0,0.012279832968488336,2026-03-08 01:40:38
300,0.2,18,2300038,0.0,0.012214499991387129,2026-03-08 01:40:38
300,0.2,19,2300039,0.0,0.01219662488438189,2026-03-08 01:40:38
